Interval,pickup,delivery,other
January 01 - January 08,0,0,0
January 09 - January 16,0,0,0
January 17 - January 24,0,0,0
January 25 - February 01,0,0,0
February 02 - February 09,0,0,0
February 10 - February 17,0,0,0
February 18 - February 25,0,0,0
February 26 - March 04,0,0,0
March 05 - March 12,0,0,0
March 13 - March 20,0,0,0
March 21 - March 28,0,0,0
March 29 - April 05,0,0,0
April 06 - April 13,0,0,0
April 14 - April 21,0,0,0
April 22 - April 29,0,0,0
April 30 - May 07,0,0,0
May 08 - May 15,0,0,0
May 16 - May 23,0,0,0
May 24 - May 31,0,0,0
June 01 - June 08,0,0,0
June 09 - June 16,0,0,0
June 17 - June 24,0,0,0
June 25 - July 02,0,0,0
July 03 - July 10,0,0,0
July 11 - July 18,0,0,0
July 19 - July 26,3,1,1
July 27 - August 03,2,0,0
August 04 - August 11,0,0,0
August 12 - August 19,0,0,0
August 20 - August 27,0,0,0
August 28 - September 04,0,0,0
September 05 - September 12,0,0,0
September 13 - September 20,0,0,0
September 21 - September 28,0,0,0
September 29 - October 06,0,0,0
October 07 - October 14,0,0,0
October 15 - October 22,0,0,0
October 23 - October 30,0,0,0
October 31 - November 07,0,0,0
November 08 - November 15,0,0,0
November 16 - November 23,0,0,0
November 24 - December 01,0,0,0
December 02 - December 09,0,0,0
December 10 - December 17,0,0,0
December 18 - December 25,0,0,0
December 26 - January 02,0,0,0
