Interval,pickup,dropoff,other
January 01 - January 05,[0],[0],[0]
January 06 - January 10,[0],[0],[0]
January 11 - January 15,[0],[0],[0]
January 16 - January 20,[0],[0],[0]
January 21 - January 25,[0],[0],[0]
January 26 - January 30,[0],[0],[0]
January 31 - February 04,[0],[0],[0]
February 05 - February 09,[0],[0],[0]
February 10 - February 14,[0],[0],[0]
February 15 - February 19,[0],[0],[0]
February 20 - February 24,[0],[0],[0]
February 25 - February 29,[0],[0],[0]
March 01 - March 05,[0],[0],[0]
March 06 - March 10,[0],[0],[0]
March 11 - March 15,[0],[0],[0]
March 16 - March 20,[0],[0],[0]
March 21 - March 25,[0],[0],[0]
March 26 - March 30,[0],[0],[0]
March 31 - April 04,[0],[0],[0]
April 05 - April 09,[0],[0],[0]
April 10 - April 14,[0],[0],[0]
April 15 - April 19,[0],[0],[0]
April 20 - April 24,[0],[0],[0]
April 25 - April 29,[0],[0],[0]
April 30 - May 04,[0],[0],[0]
May 05 - May 09,[0],[0],[0]
May 10 - May 14,[0],[0],[0]
May 15 - May 19,[0],[0],[0]
May 20 - May 24,[0],[0],[0]
May 25 - May 29,[0],[0],[0]
May 30 - June 03,[0],[0],[0]
June 04 - June 08,[0],[0],[0]
June 09 - June 13,[0],[0],[0]
June 14 - June 18,[0],[0],[0]
June 19 - June 23,[0],[0],[0]
June 24 - June 28,[0],[0],[0]
June 29 - July 03,[0],[0],[0]
July 04 - July 08,[0],[0],[0]
July 09 - July 13,[0],[0],[0]
July 14 - July 18,[0],[0],[0]
July 19 - July 23,[0],[0],[0]
July 24 - July 28,[3],[0],[2]
July 29 - August 02,[0],[0],[0]
August 03 - August 07,[0],[0],[0]
August 08 - August 12,[0],[0],[0]
August 13 - August 17,[0],[0],[0]
August 18 - August 22,[0],[0],[0]
August 23 - August 27,[0],[0],[0]
August 28 - September 01,[0],[0],[0]
September 02 - September 06,[0],[0],[0]
September 07 - September 11,[0],[0],[0]
September 12 - September 16,[0],[0],[0]
September 17 - September 21,[0],[0],[0]
September 22 - September 26,[0],[0],[0]
September 27 - October 01,[0],[0],[0]
October 02 - October 06,[0],[0],[0]
October 07 - October 11,[0],[0],[0]
October 12 - October 16,[0],[0],[0]
October 17 - October 21,[0],[0],[0]
October 22 - October 26,[0],[0],[0]
October 27 - October 31,[0],[0],[0]
November 01 - November 05,[0],[0],[0]
November 06 - November 10,[0],[0],[0]
November 11 - November 15,[0],[0],[0]
November 16 - November 20,[0],[0],[0]
November 21 - November 25,[0],[0],[0]
November 26 - November 30,[0],[0],[0]
December 01 - December 05,[0],[0],[0]
December 06 - December 10,[0],[0],[0]
December 11 - December 15,[0],[0],[0]
December 16 - December 20,[0],[0],[0]
December 21 - December 25,[0],[0],[0]
December 26 - December 30,[0],[0],[0]
December 31 - January 04,[0],[0],[0]
